Bevölkerung nach Bundesländern;;;;;;
"Datenquelle: Statistische Ämter des Bundes und der Länder; Berechnungen: Bundesinstitut für Bevölkerungsforschung";;;;;;
;;;;;;
www.demografie-portal.de/DE/Fakten/bevoelkerung-laender.html;;;;;;
;;;;;;
;;;;;;
;;;Entwicklung;;;
;Bevölkerungszahl 2021;;1990-2021;2021-2050*;;* Ergebnis der 15. koordinierten Bevölkerungsvorausberechnung, Variante 2 (moderate Entwicklung)
Nordrhein-Westfalen;17924591;;3%;-1%;;
Bayern;13176989;;15%;5%;;
Baden-Württemberg;11124642;;13%;4%;;
Niedersachsen;8027031;;9%;2%;;
Hessen;6295017;;9%;3%;;
Rheinland-Pfalz;4106485;;9%;1%;;
Sachsen;4043002;;-15%;-8%;;
Berlin;3677472;;7%;15%;;
Schleswig-Holstein;2922005;;11%;1%;;
Brandenburg;2537868;;-2%;-3%;;
Sachsen-Anhalt;2169253;;-25%;-16%;;
Thüringen;2108863;;-19%;-14%;;
Hamburg;1853935;;12%;8%;;
Mecklenburg-Vorpommern;1611160;;-15%;-9%;;
Saarland;982348;;-8%;-9%;;
Bremen;676463;;-1%;4%;;
